Date,Customer ID,Order ID,Order Quantity,Marketing Campaign,Product Category,State,Region,Product Brand,Order Channel,Payment Method,Payment Status,Sales Representative
2023-12-30 21:52:28,40813976,5568,1,Referral,Electronics,MI,West,Brand C,Phone,PayPal,Not Paid,Sharon Strong
2021-04-17 06:29:37,56841139,1646244,1,Holiday Campaign,Electronics,NC,West,Brand B,Phone,PayPal,Not Paid,John Andrews
2020-06-17 11:37:04,5974,53459522,1,Summer Sale,Sports Equipment,NY,South,Brand B,Online Store,Credit Card,Not Paid,Raymond Hammond
2023-12-02 08:43:10,2301884,6163054,1,Holiday Campaign,Clothing,PA,East,Brand E,Mobile App,Credit Card,Paid,Patricia Rodriguez
2020-07-07 03:39:17,9867927,307191,1,Referral,Electronics,MI,North,Brand B,Phone,Cash,Not Paid,Austin Hampton
2023-05-20 11:54:21,803018096,4550505,1,Holiday Campaign,Books,IL,South,Brand C,In-Store,Cash,Paid,Jeremy Houston
2020-02-29 20:36:17,190636,98642,4,Referral,Books,GA,South,Brand D,Phone,Credit Card,Paid,Judy Carlson
2021-10-21 01:52:24,525,1943369,3,Email Promo,Books,GA,West,Brand B,In-Store,Credit Card,Paid,Sonya Nelson
2021-12-27 13:26:37,775305,5152532,1,Email Promo,Electronics,PA,South,Brand A,Phone,PayPal,Paid,Donna Lee
2021-05-29 06:19:06,3975089,415438,1,Holiday Campaign,Electronics,FL,West,Brand A,Phone,Cash,Not Paid,Candace Reid
2022-07-30 17:00:35,613042233,643996,1,Referral,Furniture,OH,West,Brand E,Online Store,Cash,Paid,Ruth Bowman
2020-07-04 02:48:26,6836160,855544371,4,Summer Sale,Electronics,MI,North,Brand A,In-Store,Cash,Paid,Valerie Cardenas
2022-01-27 04:46:00,4058499,755,7,Holiday Campaign,Electronics,NY,North,Brand A,In-Store,Credit Card,Paid,Darren Harris
2021-01-16 10:16:51,632,16899,1,Holiday Campaign,Clothing,NC,South,Brand A,Mobile App,PayPal,Paid,Connie Simmons
2022-09-27 17:32:16,166170496,880977633,1,Holiday Campaign,Clothing,CA,South,Brand D,Online Store,Credit Card,Not Paid,David Berg
2022-05-16 05:54:10,9146,427247407,1,Summer Sale,Books,OH,North,Brand A,In-Store,Credit Card,Not Paid,Shane Wilson
2021-03-17 06:58:55,9,509435953,1,Summer Sale,Electronics,TX,North,Brand A,Mobile App,PayPal,Paid,Kelly Hines
2022-12-12 02:33:39,6796110,57598,1,Holiday Campaign,Sports Equipment,TX,East,Brand A,Mobile App,Cash,Paid,Andre Jones
2021-10-23 07:48:31,894,72827350,1,Email Promo,Furniture,TX,South,Brand C,Online Store,Credit Card,Paid,Bradley Riley II
2023-01-03 14:01:14,9573997,991,6,Referral,Clothing,MI,South,Brand C,Phone,PayPal,Not Paid,Jorge Walton
2022-07-26 22:31:13,132279943,988520,1,Summer Sale,Books,FL,West,Brand E,In-Store,PayPal,Paid,Tiffany Santos
2022-06-18 18:37:47,7667265,147965278,5,Referral,Sports Equipment,NY,West,Brand A,Mobile App,PayPal,Paid,Karen Smith
2022-11-01 21:14:32,68,8,4,Email Promo,Clothing,MI,South,Brand A,Online Store,PayPal,Not Paid,Regina Hogan
2022-04-01 18:55:08,7753084,93,1,Holiday Campaign,Electronics,FL,East,Brand E,Online Store,PayPal,Paid,Thomas Fox
2022-10-22 09:13:31,5775692,502,1,Summer Sale,Books,GA,North,Brand D,In-Store,Credit Card,Not Paid,Ashley Baker
2020-10-29 12:42:57,7494,53977,10,Holiday Campaign,Sports Equipment,TX,West,Brand E,In-Store,Cash,Not Paid,Margaret Harris
2021-03-12 17:13:15,436129884,855,1,Referral,Electronics,MI,North,Brand B,Phone,PayPal,Paid,Kristina Brock
2020-04-16 07:05:25,86798,9545212,6,Referral,Books,CA,South,Brand E,Online Store,Credit Card,Not Paid,Thomas Greer
2023-06-24 10:27:19,2103947,744425015,1,Holiday Campaign,Books,TX,North,Brand D,In-Store,Credit Card,Not Paid,Erin Beck
2021-11-26 14:38:23,0,541919,1,Referral,Books,PA,West,Brand A,Mobile App,PayPal,Not Paid,Julian Bolton
2020-02-20 10:21:05,35,288594508,1,Referral,Furniture,FL,North,Brand B,In-Store,PayPal,Not Paid,Arthur Baker
2021-06-24 16:35:27,76,304,1,Email Promo,Furniture,MI,East,Brand B,Online Store,Credit Card,Not Paid,Jason Johnson
2022-02-16 21:26:57,1856774,432586586,6,Holiday Campaign,Sports Equipment,NY,South,Brand B,Online Store,Cash,Paid,Bradley Kelly
2022-02-12 02:05:38,19555,95,8,Holiday Campaign,Sports Equipment,FL,West,Brand C,Online Store,Cash,Paid,David Bender
2021-01-05 19:52:59,4864126,595,7,Email Promo,Books,NC,North,Brand A,Online Store,Credit Card,Not Paid,Robert Rios
2022-11-17 15:53:42,878,454,6,Referral,Books,OH,East,Brand E,Online Store,Cash,Not Paid,Christopher White
2020-02-16 12:54:26,751,73853952,8,Summer Sale,Clothing,GA,West,Brand E,Phone,Cash,Not Paid,Dale Foster
2021-04-06 16:15:10,221,7953278,1,Email Promo,Books,MI,East,Brand E,In-Store,Credit Card,Paid,April Brown
2020-07-20 02:50:38,7568579,303486365,1,Referral,Clothing,MI,West,Brand E,In-Store,Cash,Not Paid,Brian Velasquez
2023-01-24 19:11:24,982,867,1,Holiday Campaign,Books,NY,North,Brand E,Phone,Credit Card,Paid,Donna Suarez
2022-04-19 14:41:16,254,4355764,5,Holiday Campaign,Clothing,CA,North,Brand C,Mobile App,Cash,Not Paid,Kelly Clements
2022-10-05 18:01:45,5779401,1019563,1,Holiday Campaign,Electronics,NC,West,Brand B,Phone,Credit Card,Paid,Jessica Young
2020-12-24 08:23:59,55,1141,1,Holiday Campaign,Books,GA,South,Brand D,In-Store,Cash,Not Paid,Michael Torres MD
2021-05-07 22:00:40,21548341,4481,1,Referral,Sports Equipment,OH,East,Brand A,Mobile App,Cash,Paid,Kristen Gamble
2021-07-15 12:01:48,379570066,373195937,2,Summer Sale,Sports Equipment,PA,South,Brand A,Online Store,Cash,Not Paid,Eric Yoder
2023-06-22 08:51:45,61,4740,1,Holiday Campaign,Books,NC,East,Brand D,Mobile App,PayPal,Not Paid,Samuel Johnson
2020-02-01 17:54:24,14,65,8,Email Promo,Clothing,MI,South,Brand C,Mobile App,PayPal,Not Paid,Cheryl Clark DVM
2020-08-04 19:14:27,65985,20,4,Referral,Books,NC,North,Brand E,Mobile App,Cash,Not Paid,Thomas Davidson
2020-04-25 03:30:58,41625,249,10,Referral,Clothing,NC,West,Brand C,Mobile App,PayPal,Not Paid,Ann Jacobs
2021-06-15 16:41:46,948941009,90,1,Summer Sale,Electronics,IL,South,Brand E,Online Store,Credit Card,Not Paid,Danny Moore
2022-02-10 14:56:09,832092,4513391,1,Summer Sale,Furniture,NC,East,Brand E,Phone,Credit Card,Paid,Betty Nielsen
2021-10-29 02:38:10,6,60,1,Email Promo,Sports Equipment,OH,West,Brand B,In-Store,PayPal,Paid,Cameron Adams
2023-03-22 05:49:31,7155545,39212608,1,Holiday Campaign,Sports Equipment,FL,South,Brand C,Online Store,Cash,Not Paid,Joshua Young
2020-10-02 00:54:00,1532976,65513713,9,Summer Sale,Sports Equipment,PA,South,Brand B,Online Store,Credit Card,Paid,John Sanchez
2023-05-03 15:42:31,8422,674240,1,Email Promo,Books,CA,East,Brand C,In-Store,Cash,Not Paid,Sandra Johnson
2023-09-25 12:40:28,2353,23364938,5,Summer Sale,Electronics,MI,West,Brand B,Online Store,PayPal,Paid,Jeremy Willis
2020-06-19 20:04:48,237,3673077,5,Holiday Campaign,Sports Equipment,CA,West,Brand A,Online Store,Credit Card,Paid,Ryan Russell
2023-06-11 04:27:33,767926,24,1,Holiday Campaign,Furniture,FL,West,Brand C,Online Store,Cash,Paid,Jeffrey Walters
2022-08-24 17:39:20,86,4068958,1,Email Promo,Furniture,NC,North,Brand D,Online Store,Cash,Paid,Thomas Villarreal
2022-07-31 07:35:17,780174,1101495,1,Holiday Campaign,Books,TX,North,Brand D,Online Store,PayPal,Not Paid,Sabrina Russell
2022-08-27 00:31:07,880741,4650,1,Summer Sale,Books,IL,North,Brand D,In-Store,Cash,Paid,Lawrence Carter
2020-05-17 20:07:42,6965621,915478,1,Email Promo,Books,FL,North,Brand C,Online Store,PayPal,Paid,Edwin Giles
2022-05-30 11:27:05,5086,1316981,1,Summer Sale,Sports Equipment,FL,East,Brand A,Online Store,Credit Card,Not Paid,Ann Cole
2021-05-23 04:50:28,239151295,569533,1,Referral,Furniture,TX,West,Brand E,Online Store,Cash,Paid,Bruce Page
2023-06-23 21:32:42,2727,360995,8,Holiday Campaign,Clothing,TX,North,Brand C,Online Store,Credit Card,Paid,Linda Mann
2023-12-17 20:00:58,479990813,120318028,1,Email Promo,Electronics,OH,West,Brand C,Phone,Cash,Not Paid,Melissa Diaz
2023-08-27 20:42:47,239417,27251,1,Email Promo,Sports Equipment,GA,North,Brand E,Phone,Cash,Paid,Angel Parker
2021-01-04 11:03:08,3618038,66395194,8,Email Promo,Clothing,FL,West,Brand D,Mobile App,Credit Card,Not Paid,Taylor Gutierrez
2020-08-04 04:44:18,743963646,21,3,Email Promo,Electronics,OH,North,Brand D,Online Store,Credit Card,Not Paid,Ronald Bailey DVM
2021-08-13 19:21:31,572430879,846355230,1,Referral,Clothing,IL,South,Brand C,In-Store,Cash,Paid,Mark Vasquez
2021-03-21 08:49:59,26,177835583,8,Summer Sale,Furniture,NC,North,Brand E,Online Store,PayPal,Not Paid,Matthew Harmon
2020-12-13 00:40:39,58288,2655,1,Referral,Books,MI,South,Brand A,Phone,Credit Card,Paid,Douglas Sanchez
2021-10-05 04:26:17,95177516,41481484,1,Email Promo,Books,OH,North,Brand B,Mobile App,Credit Card,Not Paid,Kelly Lee
2022-07-21 23:25:31,55263784,822950,10,Holiday Campaign,Furniture,CA,South,Brand B,In-Store,Credit Card,Paid,Sophia King
2021-06-24 11:50:48,20814,658277,1,Holiday Campaign,Electronics,FL,North,Brand C,In-Store,PayPal,Not Paid,Ethan Patterson
2022-04-21 14:51:51,375,67570920,1,Summer Sale,Electronics,NY,West,Brand E,Mobile App,Credit Card,Paid,Ann Mitchell
2021-03-19 15:15:26,32408,875596006,1,Referral,Clothing,TX,South,Brand B,Phone,Credit Card,Not Paid,Karen Mcintosh
2020-07-29 17:14:46,678588063,48,10,Email Promo,Electronics,NY,North,Brand C,Phone,Cash,Not Paid,Melissa Jones
2022-10-06 10:12:04,44,824232684,1,Email Promo,Furniture,MI,West,Brand C,Online Store,Credit Card,Not Paid,Lindsay Ortiz
2020-11-17 10:23:52,193074,65234795,1,Holiday Campaign,Books,IL,South,Brand E,Phone,PayPal,Paid,Jeffrey Berry IV
2021-02-11 07:24:37,10521,1172480,1,Holiday Campaign,Electronics,NY,South,Brand A,Online Store,Credit Card,Not Paid,James Liu
2021-01-14 17:57:59,929841,1632858,2,Summer Sale,Clothing,FL,West,Brand E,Mobile App,Credit Card,Not Paid,Mary Foster
2022-01-18 09:50:41,7895,441013,1,Summer Sale,Clothing,NY,West,Brand E,Phone,Cash,Not Paid,Paul Johnson
2022-10-01 12:16:02,537565,268,1,Referral,Clothing,IL,South,Brand E,Phone,Credit Card,Not Paid,Sandra Pennington
2022-08-23 12:00:52,9024,727223,1,Email Promo,Sports Equipment,IL,North,Brand D,Phone,Cash,Paid,Leon Jennings
2020-01-17 18:05:13,3272784,11,1,Summer Sale,Electronics,GA,West,Brand E,Online Store,Cash,Not Paid,Jordan Campos
2020-02-23 00:49:16,9312,22,9,Referral,Sports Equipment,NY,West,Brand B,Phone,Cash,Not Paid,Steven Bowen
2022-06-14 15:40:47,10273,810,1,Email Promo,Clothing,IL,North,Brand B,In-Store,PayPal,Not Paid,Nicholas Martin
2023-04-26 06:10:11,315198,288,9,Email Promo,Clothing,TX,West,Brand E,Online Store,Credit Card,Paid,Mr. Gregory Simon
2020-03-26 21:37:28,40,24016,1,Referral,Furniture,GA,West,Brand D,In-Store,PayPal,Paid,Nichole Waters
2023-05-18 07:29:59,439725,4007112,6,Holiday Campaign,Furniture,NC,West,Brand E,In-Store,Credit Card,Paid,Kelly Barnett
2023-10-24 21:10:36,401290,489,3,Summer Sale,Clothing,GA,North,Brand E,In-Store,Credit Card,Paid,Elizabeth Holden
2020-04-02 01:04:30,210969,598850,1,Referral,Electronics,OH,South,Brand E,Phone,Credit Card,Paid,Michael Foley
2020-10-16 16:07:49,481908,405,1,Email Promo,Electronics,CA,South,Brand D,In-Store,Credit Card,Paid,Diana Harmon
2021-07-30 11:37:39,846304406,290,1,Holiday Campaign,Electronics,CA,West,Brand C,Mobile App,PayPal,Paid,Pamela Thompson
2022-12-26 03:29:26,19,968418,3,Email Promo,Books,NY,West,Brand B,Mobile App,PayPal,Not Paid,Donna Smith
2022-02-05 11:16:09,489342,168,1,Holiday Campaign,Books,OH,South,Brand C,Phone,Cash,Not Paid,Garrett Mcbride
2022-04-03 14:49:28,9648668,448,5,Email Promo,Electronics,TX,East,Brand D,Mobile App,PayPal,Paid,Mackenzie Collins
2023-12-25 16:14:46,56697,81710,1,Summer Sale,Furniture,FL,East,Brand A,Mobile App,PayPal,Not Paid,Michael Miller
2021-11-02 09:00:25,29306949,744755,1,Holiday Campaign,Sports Equipment,NC,West,Brand C,Online Store,Credit Card,Not Paid,Daniel Reynolds
2022-09-06 10:13:51,4975620,73636,1,Email Promo,Furniture,IL,East,Brand C,Mobile App,Credit Card,Paid,Jonathan Shaffer
2022-01-30 23:46:48,532,97470995,9,Holiday Campaign,Clothing,GA,North,Brand B,Online Store,Cash,Paid,Todd Vargas
2021-09-27 05:39:12,23536771,43097,5,Summer Sale,Books,MI,East,Brand D,Phone,Credit Card,Paid,Andrew Larsen
2021-01-07 22:37:46,638622761,418458213,1,Email Promo,Clothing,NY,West,Brand B,Mobile App,Cash,Not Paid,Lawrence Shelton
2021-02-02 19:05:50,429,7559592,1,Email Promo,Books,OH,West,Brand C,In-Store,PayPal,Paid,Robert Willis
2020-03-14 04:32:17,2435162,224476516,5,Holiday Campaign,Electronics,NY,West,Brand E,Online Store,PayPal,Not Paid,David French
2021-12-13 07:14:51,72,13080008,1,Summer Sale,Books,CA,West,Brand B,Phone,Credit Card,Paid,Melinda Crawford
2021-05-25 15:25:08,701,25,1,Referral,Electronics,IL,East,Brand C,Mobile App,PayPal,Paid,Nathaniel Brown
2021-06-07 17:32:57,5981,2479583,1,Summer Sale,Sports Equipment,FL,West,Brand D,Phone,PayPal,Not Paid,Brittany Johnson
2020-04-17 23:20:26,323345,5963867,1,Email Promo,Clothing,NC,West,Brand B,Phone,Cash,Not Paid,Troy Pugh
2021-01-05 14:26:35,707603345,79,1,Summer Sale,Electronics,IL,South,Brand B,In-Store,Cash,Not Paid,Christopher Johnson
2020-06-24 02:50:13,4672,7019,2,Holiday Campaign,Electronics,OH,South,Brand B,In-Store,Credit Card,Not Paid,James Stein
2021-10-14 01:38:52,9160,451565964,1,Holiday Campaign,Electronics,GA,North,Brand B,In-Store,PayPal,Not Paid,Dennis Koch
2022-11-16 19:28:12,27,66,1,Summer Sale,Electronics,CA,East,Brand A,Phone,PayPal,Not Paid,Noah Olson
2023-02-13 03:10:20,74,7874,7,Holiday Campaign,Electronics,MI,North,Brand D,In-Store,Cash,Not Paid,Mark Martinez
2020-10-10 13:14:12,962513,359,2,Referral,Electronics,TX,South,Brand E,Mobile App,Cash,Not Paid,Mary Carr
2020-08-31 04:37:21,4586585,958010,10,Holiday Campaign,Sports Equipment,FL,North,Brand C,Phone,Credit Card,Not Paid,Sara Neal
2022-12-31 17:30:57,437122,1564,1,Holiday Campaign,Books,FL,South,Brand D,Online Store,PayPal,Not Paid,Anita Taylor
2022-06-17 21:58:23,5151825,797438244,1,Email Promo,Clothing,TX,West,Brand D,Online Store,Credit Card,Not Paid,Frank Morales
2023-07-23 03:58:03,4132994,69653,1,Email Promo,Electronics,GA,South,Brand E,Mobile App,Credit Card,Paid,Gabriel Sparks
2022-10-18 18:27:22,88050,763583646,1,Holiday Campaign,Sports Equipment,IL,East,Brand E,Phone,Credit Card,Not Paid,Joshua Robbins
2022-03-11 02:57:33,60626,204385116,1,Holiday Campaign,Books,IL,West,Brand D,Online Store,PayPal,Paid,Elizabeth Barber
2022-06-06 15:57:13,30120770,2545305,10,Email Promo,Clothing,TX,East,Brand C,Phone,Credit Card,Paid,Michael Rosales
2020-03-20 06:48:49,67043,873,1,Email Promo,Clothing,NC,South,Brand C,In-Store,PayPal,Paid,Krista Parks
2022-07-27 12:43:26,53951467,459062,1,Summer Sale,Sports Equipment,IL,South,Brand D,Mobile App,Cash,Paid,Luke Brown
2022-10-23 14:19:35,446631238,1188281,1,Email Promo,Electronics,TX,North,Brand C,In-Store,PayPal,Paid,Linda Jackson
2020-12-13 01:27:40,280989,2049751,1,Holiday Campaign,Furniture,PA,West,Brand B,In-Store,PayPal,Paid,Courtney Lopez
2023-06-11 05:48:29,81837239,138,1,Email Promo,Furniture,MI,East,Brand D,Mobile App,Cash,Not Paid,Joseph Johnson
2021-11-01 07:15:56,18234369,55568442,1,Email Promo,Books,PA,North,Brand C,Mobile App,Cash,Not Paid,John Aguirre
2020-07-27 13:29:29,73915403,77,1,Holiday Campaign,Clothing,TX,North,Brand A,Phone,Cash,Not Paid,Tammy Ellison
2023-11-06 18:37:26,85,15761837,6,Summer Sale,Clothing,NC,West,Brand B,Phone,Credit Card,Paid,Maria Mullen
2022-07-18 07:47:45,336667331,455,2,Holiday Campaign,Books,MI,South,Brand D,Phone,PayPal,Not Paid,Bryan Johnson
2023-03-21 03:53:18,9412729,42932,5,Email Promo,Clothing,FL,South,Brand A,In-Store,Cash,Not Paid,Elizabeth Haley
2023-02-28 08:58:32,67133,2178453,1,Referral,Clothing,NY,North,Brand A,Phone,PayPal,Paid,Christina Rich
2023-03-23 10:38:24,47966,86742,1,Holiday Campaign,Electronics,CA,West,Brand A,Mobile App,Cash,Not Paid,Breanna Black
2021-01-18 17:11:01,8081,70775,1,Holiday Campaign,Furniture,OH,South,Brand A,Mobile App,Credit Card,Not Paid,Laura Krause
2023-07-25 07:59:53,2085,13468,1,Summer Sale,Books,OH,South,Brand A,Online Store,PayPal,Not Paid,Christopher Clark
2020-01-30 00:27:14,435248,1771,1,Summer Sale,Electronics,OH,West,Brand E,Online Store,PayPal,Not Paid,Taylor Collins
2023-01-29 03:45:41,68443,99008,1,Referral,Electronics,MI,East,Brand B,Online Store,PayPal,Not Paid,Kevin Smith
2020-12-12 15:01:25,527927,389,1,Summer Sale,Clothing,GA,North,Brand A,Phone,PayPal,Paid,Ronald Cross
2021-05-09 14:31:19,193535778,332,1,Referral,Electronics,NY,East,Brand E,Online Store,PayPal,Not Paid,Kenneth Hurley
2022-09-06 16:41:39,932142,30123521,1,Referral,Books,NC,North,Brand C,Mobile App,PayPal,Paid,Emily Murphy
2022-04-02 18:38:30,435877,871509,1,Email Promo,Sports Equipment,FL,East,Brand C,Online Store,Cash,Not Paid,Shane Nguyen
2020-03-22 16:41:04,31,1703,1,Referral,Electronics,OH,South,Brand D,Phone,PayPal,Not Paid,Jennifer Rios MD
2020-11-07 19:07:05,246405,5554372,6,Referral,Books,IL,South,Brand C,Phone,Credit Card,Not Paid,Erik Melton
2023-01-08 12:22:57,7101249,54,1,Email Promo,Clothing,NY,West,Brand B,In-Store,Cash,Paid,Dennis Camacho
2023-06-09 14:08:11,10690670,36038,1,Referral,Sports Equipment,PA,West,Brand A,Online Store,PayPal,Not Paid,Jeremy Douglas PhD
2023-07-08 10:07:52,32873667,5254,1,Referral,Sports Equipment,GA,North,Brand C,In-Store,PayPal,Not Paid,Dillon Vaughn MD
2021-10-03 09:45:20,924131899,2280,1,Summer Sale,Books,FL,East,Brand A,Mobile App,Credit Card,Paid,Ashley Pace
2023-03-06 19:49:37,89295932,4621971,1,Holiday Campaign,Clothing,NY,West,Brand B,Online Store,PayPal,Not Paid,Paula Young
2023-03-15 18:50:22,915349,5492,1,Summer Sale,Books,FL,South,Brand C,Online Store,PayPal,Not Paid,Jordan Lamb
2021-10-18 01:41:43,39030,61553,9,Referral,Clothing,OH,South,Brand C,Online Store,PayPal,Paid,Angela Camacho
2020-11-12 19:17:39,43602228,756385,1,Summer Sale,Electronics,FL,North,Brand A,In-Store,Credit Card,Paid,Zachary Bradley
2021-11-20 13:22:33,637,35491,6,Holiday Campaign,Electronics,IL,North,Brand A,Phone,Credit Card,Paid,Stephen Browning
2023-07-06 10:33:11,4392414,970380476,1,Email Promo,Electronics,CA,North,Brand C,In-Store,Cash,Not Paid,Bradley Hicks
2021-01-04 22:35:08,413600,1321257,5,Email Promo,Books,TX,South,Brand B,Online Store,PayPal,Not Paid,James Schmitt
2022-06-28 10:27:52,228983,9566300,1,Holiday Campaign,Furniture,NC,North,Brand C,Mobile App,Credit Card,Paid,Christine Stein
2021-01-24 18:03:47,7738342,95875,1,Summer Sale,Electronics,FL,West,Brand B,Phone,Cash,Not Paid,Paula Young
2021-08-30 04:43:44,895,34,1,Summer Sale,Furniture,IL,South,Brand C,Phone,PayPal,Not Paid,Stephen Turner
2023-07-23 17:49:37,84813512,91,1,Referral,Furniture,OH,North,Brand A,In-Store,PayPal,Not Paid,Dennis Gomez
2023-02-10 12:44:24,494,293,1,Holiday Campaign,Sports Equipment,MI,West,Brand B,Phone,PayPal,Not Paid,Heather Alexander
2020-06-06 23:20:51,9432541,348661,1,Summer Sale,Clothing,NC,East,Brand C,Mobile App,Cash,Paid,Christopher Hunt
2020-05-11 16:22:42,990810191,24720977,1,Holiday Campaign,Electronics,TX,South,Brand E,Phone,PayPal,Paid,Krista Ritter
2023-06-04 23:57:08,843154,42592274,1,Email Promo,Books,PA,North,Brand C,Phone,Credit Card,Paid,Timothy Collins
2021-02-15 04:03:22,344999,145,1,Summer Sale,Books,MI,West,Brand D,In-Store,Cash,Not Paid,Mrs. Kathleen Young
2020-12-12 13:03:15,143245,20108700,1,Email Promo,Electronics,CA,South,Brand A,Mobile App,Credit Card,Paid,Heather Foster
2023-09-05 17:32:06,373351,120400863,1,Summer Sale,Furniture,IL,North,Brand E,Mobile App,Credit Card,Paid,Gavin Roberts
2022-05-16 02:29:56,3479,9227,1,Holiday Campaign,Clothing,NC,South,Brand A,Phone,Credit Card,Not Paid,Karen Bernard
2022-11-04 03:07:18,431,70,1,Referral,Furniture,TX,East,Brand C,Online Store,Cash,Not Paid,Darius Levy
2020-10-29 12:36:17,374876221,30796,1,Summer Sale,Clothing,OH,South,Brand C,Online Store,Cash,Not Paid,Melissa Solomon
2023-03-22 00:50:29,3675,4267028,1,Email Promo,Furniture,PA,North,Brand A,Online Store,PayPal,Not Paid,Andrew Neal
